X,Y,Z,,
574.7516,88.2774,1005.2667,,
575.7325,88.3255,1005.2699,,
576.7134,88.3657,1005.2732,,
577.6943,88.3982,1005.2764,,
578.6752,88.4228,1005.2796,,
579.6561,88.4396,1005.2829,,
580.6369,88.4485,1005.2861,,
581.6178,88.4494,1005.2893,,
582.5987,88.4425,1005.2926,,
583.5796,88.4278,1005.2958,,
584.5605,88.4051,1005.2990,,
585.5414,88.3746,1005.3023,,
586.5223,88.3363,1005.3055,,
587.5032,88.2902,1005.3088,,
588.4841,88.2363,1005.3120,,
589.4650,88.1749,1005.3152,,
590.4459,88.1057,1005.3185,,
591.4268,88.0291,1005.3217,,
592.4076,87.9450,1005.3249,,
593.3885,87.8535,1005.3282,,
594.3694,87.7547,1005.3314,,
595.3503,87.6488,1005.3347,,
596.3312,87.5358,1005.3379,,
597.3121,87.4158,1005.3411,,
598.2930,87.2890,1005.3444,,
599.2739,87.1555,1005.3476,,
600.2548,87.0155,1005.3508,,
601.2357,86.8690,1005.3541,,
602.2166,86.7162,1005.3573,,
603.1975,86.5573,1005.3606,,
604.1783,86.3925,1005.3638,,
605.1592,86.2219,1005.3670,,
606.1401,86.0457,1005.3703,,
607.1210,85.8640,1005.3735,,
608.1019,85.6771,1005.3767,,
609.0828,85.4852,1005.3800,,
610.0637,85.2884,1005.3832,,
611.0446,85.0870,1005.3864,,
612.0255,84.8811,1005.3897,,
613.0064,84.6709,1005.3929,,
613.9873,84.4568,1005.3962,,
614.9682,84.2389,1005.3994,,
615.9490,84.0173,1005.4026,,
616.9299,83.7925,1005.4059,,
617.9108,83.5645,1005.4091,,
618.8917,83.3336,1005.4123,,
619.8726,83.1001,1005.4156,,
620.8535,82.8642,1005.4188,,
621.8344,82.6261,1005.4221,,
622.8153,82.3861,1005.4253,,
623.7962,82.1444,1005.4285,,
624.7771,81.9013,1005.4318,,
625.7580,81.6570,1005.4350,,
626.7389,81.4117,1005.4382,,
627.7197,81.1658,1005.4415,,
628.7006,80.9195,1005.4447,,
629.6815,80.6730,1005.4479,,
630.6624,80.4265,1005.4512,,
631.6433,80.1804,1005.4544,,
632.6242,79.9349,1005.4577,,
633.6051,79.6902,1005.4609,,
634.5860,79.4466,1005.4641,,
635.5669,79.2044,1005.4674,,
636.5478,78.9637,1005.4706,,
637.5287,78.7249,1005.4738,,
638.5096,78.4881,1005.4771,,
639.4904,78.2536,1005.4803,,
640.4713,78.0218,1005.4836,,
641.4522,77.7927,1005.4868,,
642.4331,77.5666,1005.4900,,
643.4140,77.3438,1005.4933,,
644.3949,77.1245,1005.4965,,
645.3758,76.9089,1005.4997,,
646.3567,76.6972,1005.5030,,
647.3376,76.4897,1005.5062,,
648.3185,76.2866,1005.5095,,
649.2994,76.0880,1005.5127,,
650.2803,75.8943,1005.5159,,
651.2611,75.7055,1005.5192,,
652.2420,75.5218,1005.5224,,
653.2229,75.3435,1005.5256,,
654.2038,75.1708,1005.5289,,
655.1847,75.0038,1005.5321,,
656.1656,74.8427,1005.5353,,
657.1465,74.6876,1005.5386,,
658.1274,74.5387,1005.5418,,
659.1083,74.3962,1005.5451,,
660.0892,74.2603,1005.5483,,
661.0701,74.1309,1005.5515,,
662.0510,74.0084,1005.5548,,
663.0318,73.8928,1005.5580,,
664.0127,73.7841,1005.5612,,
664.9936,73.6827,1005.5645,,
665.9745,73.5885,1005.5677,,
666.9554,73.5016,1005.5710,,
667.9363,73.4221,1005.5742,,
668.9172,73.3502,1005.5774,,
669.8981,73.2858,1005.5807,,
670.8790,73.2291,1005.5839,,
671.8599,73.1801,1005.5871,,
672.8408,73.1389,1005.5904,,
673.8217,73.1054,1005.5936,,
674.8025,73.0798,1005.5968,,
675.7834,73.0621,1005.6001,,
676.7643,73.0522,1005.6033,,
677.7452,73.0502,1005.6066,,
678.7261,73.0562,1005.6098,,
679.7070,73.0700,1005.6130,,
680.6879,73.0916,1005.6163,,
681.6688,73.1212,1005.6195,,
682.6497,73.1585,1005.6227,,
683.6306,73.2036,1005.6260,,
684.6115,73.2565,1005.6292,,
685.5924,73.3170,1005.6325,,
686.5732,73.3852,1005.6357,,
687.5541,73.4609,1005.6389,,
688.5350,73.5441,1005.6422,,
689.5159,73.6347,1005.6454,,
690.4968,73.7325,1005.6486,,
691.4777,73.8376,1005.6519,,
692.4586,73.9497,1005.6551,,
693.4395,74.0688,1005.6583,,
694.4204,74.1948,1005.6616,,
695.4013,74.3274,1005.6648,,
696.3822,74.4667,1005.6681,,
697.3631,74.6124,1005.6713,,
698.3439,74.7644,1005.6745,,
699.3248,74.9225,1005.6778,,
700.3057,75.0866,1005.6810,,
701.2866,75.2565,1005.6842,,
702.2675,75.4320,1005.6875,,
703.2484,75.6130,1005.6907,,
704.2293,75.7992,1005.6940,,
705.2102,75.9905,1005.6972,,
706.1911,76.1867,1005.7004,,
707.1720,76.3876,1005.7037,,
708.1529,76.5930,1005.7069,,
709.1338,76.8026,1005.7101,,
710.1146,77.0162,1005.7134,,
711.0955,77.2337,1005.7166,,
712.0764,77.4548,1005.7199,,
713.0573,77.6792,1005.7231,,
714.0382,77.9068,1005.7263,,
715.0191,78.1374,1005.7296,,
716.0000,78.3706,1005.7328,,
716.9809,78.6062,1005.7360,,
717.9618,78.8440,1005.7393,,
718.9427,79.0838,1005.7425,,
719.9236,79.3253,1005.7457,,
720.9045,79.5683,1005.7490,,
721.8854,79.8125,1005.7522,,
722.8662,80.0576,1005.7555,,
723.8471,80.3034,1005.7587,,
724.8280,80.5497,1005.7619,,
725.8089,80.7962,1005.7652,,
726.7898,81.0427,1005.7684,,
727.7707,81.2888,1005.7716,,
728.7516,81.5344,1005.7749,,
729.7325,81.7792,1005.7781,,
730.7134,82.0230,1005.7814,,
731.6943,82.2654,1005.7846,,
732.6752,82.5063,1005.7878,,
733.6561,82.7454,1005.7911,,
734.6369,82.9824,1005.7943,,
735.6178,83.2172,1005.7975,,
736.5987,83.4494,1005.8008,,
737.5796,83.6789,1005.8040,,
738.5605,83.9053,1005.8072,,
739.5414,84.1285,1005.8105,,
740.5223,84.3483,1005.8137,,
741.5032,84.5644,1005.8170,,
742.4841,84.7765,1005.8202,,
743.4650,84.9846,1005.8234,,
744.4459,85.1882,1005.8267,,
745.4268,85.3874,1005.8299,,
746.4076,85.5818,1005.8331,,
747.3885,85.7712,1005.8364,,
748.3694,85.9555,1005.8396,,
749.3503,86.1345,1005.8429,,
750.3312,86.3079,1005.8461,,
751.3121,86.4757,1005.8493,,
752.2930,86.6375,1005.8526,,
753.2739,86.7934,1005.8558,,
754.2548,86.9430,1005.8590,,
755.2357,87.0863,1005.8623,,
756.2166,87.2231,1005.8655,,
757.1975,87.3533,1005.8688,,
758.1783,87.4767,1005.8720,,
759.1592,87.5932,1005.8752,,
760.1401,87.7027,1005.8785,,
761.1210,87.8050,1005.8817,,
762.1019,87.9002,1005.8849,,
763.0828,87.9880,1005.8882,,
764.0637,88.0684,1005.8914,,
765.0446,88.1412,1005.8946,,
766.0255,88.2066,1005.8979,,
767.0064,88.2642,1005.9011,,
767.9873,88.3142,1005.9044,,
768.9682,88.3564,1005.9076,,
769.9490,88.3908,1005.9108,,
770.9299,88.4174,1005.9141,,
771.9108,88.4361,1005.9173,,
772.8917,88.4470,1005.9205,,
773.8726,88.4499,1005.9238,,
774.8535,88.4450,1005.9270,,
775.8344,88.4322,1005.9303,,
776.8153,88.4115,1005.9335,,
777.7962,88.3829,1005.9367,,
778.7771,88.3466,1005.9400,,
779.7580,88.3024,1005.9432,,
780.7389,88.2505,1005.9464,,
781.7197,88.1909,1005.9497,,
782.7006,88.1237,1005.9529,,
783.6815,88.0490,1005.9561,,
